hospital,Q1_total number of tested patients,Q1_total number of specimens,Q1_total number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients _S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients _E. coli,Q1_isolation rate_E. coli,Q1_number of patients _K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients _P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients _MRSA,Q1_isolation rate_MRSA,Q1_number of patients _PRSP,Q1_isolation rate_PRSP,Q1_number of patients _CRP,Q1_isolation rate_CRP,Q1_number of patients _3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients _3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q1_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q1_isolation rate_MRSA,Q2_number of patients_PRSP,Q1_isolation rate_PRSP,Q2_number of patients_CRP,Q1_isolation rate_CRP,Q2_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q3_total number of testes patients,Q3_total number of isolation,Q3_total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
115,704,2307,108,0.1534,5,0.0071,121,0.1719,54,0.0767,31,0.044,39,0.0554,4,0.0057,2,0.0028,0,0,21,0.0298,669,2208,1733,111,0.1659,9,0.0135,100,0.1495,63,0.0942,32,0.0478,39,0.0583,2,0.003,2,0.003,0,0,13,0.0194,709,2579,2029,110,0.1551,1,0.0014,133,0.1876,88,0.1241,54,0.0762,44,0.0621,0,0,2,0.0028,2,0.0028,16,0.0226
116,831,2481,165,0.1986,21,0.0253,96,0.1155,40,0.0481,49,0.059,56,0.0674,11,0.0132,4,0.0048,0,0,10,0.012,802,2338,2753,151,0.1883,20,0.0249,120,0.1496,42,0.0524,88,0.1097,48,0.0599,13,0.0162,7,0.0087,4,0.005,27,0.0337,802,2312,2584,131,0.1633,20,0.0249,110,0.1372,48,0.0599,66,0.0823,48,0.0599,9,0.0112,7,0.0087,10,0.0125,22,0.0274
117,1370,5139,177,0.1292,38,0.0277,214,0.1562,94,0.0686,97,0.0708,57,0.0416,15,0.0109,8,0.0058,0,0,4,0.0029,2020,6524,5186,198,0.098,39,0.0193,313,0.155,181,0.0896,139,0.0688,65,0.0322,20,0.0099,21,0.0104,4,0.002,9,0.0045,2686,8709,7932,313,0.1165,51,0.019,431,0.1605,266,0.099,205,0.0763,77,0.0287,27,0.0101,16,0.006,6,0.0022,13,0.0048
118,467,1894,78,0.167,5,0.0107,61,0.1306,31,0.0664,27,0.0578,22,0.0471,1,0.0021,0,0,2,0.0043,12,0.0257,502,1734,862,77,0.1534,6,0.012,65,0.1295,29,0.0578,28,0.0558,23,0.0458,1,0.002,0,0,1,0.002,16,0.0319,512,1659,871,72,0.1406,4,0.0078,54,0.1055,39,0.0762,34,0.0664,15,0.0293,3,0.0059,0,0,6,0.0117,9,0.0176
119,297,685,73,0.2458,9,0.0303,75,0.2525,30,0.101,91,0.3064,58,0.1953,8,0.0269,13,0.0438,6,0.0202,18,0.0606,277,623,1069,59,0.213,16,0.0578,59,0.213,14,0.0505,71,0.2563,50,0.1805,13,0.0469,11,0.0397,6,0.0217,20,0.0722,292,675,1233,78,0.2671,13,0.0445,68,0.2329,24,0.0822,102,0.3493,54,0.1849,10,0.0342,11,0.0377,5,0.0171,25,0.0856
120,1069,3310,125,0.1169,39,0.0365,170,0.159,72,0.0674,62,0.058,41,0.0384,0,0,0,0,0,0,0,0,1080,3212,2377,88,0.0815,38,0.0352,190,0.1759,62,0.0574,53,0.0491,24,0.0222,0,0,0,0,0,0,0,0,1170,3421,2569,106,0.0906,45,0.0385,156,0.1333,81,0.0692,65,0.0556,33,0.0282,0,0,0,0,0,0,0,0
121,423,995,69,0.1631,14,0.0331,52,0.1229,24,0.0567,24,0.0567,26,0.0615,6,0.0142,0,0,0,0,3,0.0071,436,1033,819,48,0.1101,19,0.0436,54,0.1239,22,0.0505,26,0.0596,20,0.0459,7,0.0161,0,0,0,0,5,0.0115,455,1119,831,37,0.0813,13,0.0286,78,0.1714,27,0.0593,24,0.0527,21,0.0462,3,0.0066,0,0,1,0.0022,13,0.0286
122,1076,4028,65,0.0604,11,0.0102,101,0.0939,54,0.0502,102,0.0948,22,0.0204,4,0.0037,11,0.0102,2,0.0019,16,0.0149,963,3644,1980,94,0.0976,12,0.0125,110,0.1142,56,0.0582,90,0.0935,39,0.0405,4,0.0042,25,0.026,7,0.0073,21,0.0218,1042,3832,2120,93,0.0893,13,0.0125,135,0.1296,56,0.0537,128,0.1228,36,0.0345,2,0.0019,31,0.0298,4,0.0038,26,0.025
123,807,3837,67,0.083,4,0.005,99,0.1227,29,0.0359,43,0.0533,31,0.0384,0,0,0,0,1,0.0012,21,0.026,1117,6015,2258,127,0.1137,6,0.0054,136,0.1218,46,0.0412,52,0.0466,37,0.0331,3,0.0027,0,0,2,0.0018,7,0.0063,1205,7012,3037,146,0.1212,4,0.0033,169,0.1402,94,0.078,66,0.0548,37,0.0307,0,0,0,0,1,0.0008,2,0.0017
124,485,1577,54,0.1113,4,0.0082,46,0.0948,19,0.0392,26,0.0536,18,0.0371,1,0.0021,1,0.0021,2,0.0041,9,0.0186,487,1539,640,33,0.0678,2,0.0041,52,0.1068,25,0.0513,34,0.0698,11,0.0226,1,0.0021,3,0.0062,3,0.0062,12,0.0246,454,1361,544,47,0.1035,4,0.0088,41,0.0903,19,0.0419,18,0.0396,10,0.022,3,0.0066,0,0,3,0.0066,8,0.0176
125,444,925,92,0.2072,2,0.0045,62,0.1396,18,0.0405,29,0.0653,60,0.1351,1,0.0023,3,0.0068,3,0.0068,15,0.0338,419,920,934,83,0.1981,0,0,74,0.1766,19,0.0453,23,0.0549,41,0.0979,0,0,3,0.0072,0,0,18,0.043,454,903,1036,69,0.152,1,0.0022,71,0.1564,24,0.0529,38,0.0837,46,0.1013,1,0.0022,0,0,0,0,17,0.0374
126,324,469,25,0.0772,0,0,147,0.4537,28,0.0864,57,0.1759,18,0.0556,0,0,10,0.0309,1,0.0031,78,0.2407,343,515,610,32,0.0933,1,0.0029,152,0.4431,26,0.0758,56,0.1633,22,0.0641,1,0.0029,8,0.0233,0,0,81,0.2362,351,507,657,37,0.1054,0,0,138,0.3932,30,0.0855,59,0.1681,22,0.0627,0,0,8,0.0228,0,0,68,0.1937
127,280,527,23,0.0821,1,0.0036,58,0.2071,25,0.0893,17,0.0607,7,0.025,0,0,5,0.0179,0,0,7,0.025,278,600,475,24,0.0863,3,0.0108,40,0.1439,32,0.1151,14,0.0504,7,0.0252,1,0.0036,2,0.0072,1,0.0036,5,0.018,355,744,731,28,0.0789,1,0.0028,96,0.2704,47,0.1324,26,0.0732,4,0.0113,1,0.0028,3,0.0085,1,0.0028,5,0.0141
128,251,550,53,0.2112,2,0.008,18,0.0717,12,0.0478,37,0.1474,39,0.1554,2,0.008,1,0.004,0,0,4,0.0159,264,557,552,46,0.1742,4,0.0152,21,0.0795,13,0.0492,32,0.1212,25,0.0947,2,0.0076,3,0.0114,2,0.0076,5,0.0189,255,620,625,53,0.2078,1,0.0039,22,0.0863,18,0.0706,38,0.149,34,0.1333,1,0.0039,1,0.0039,1,0.0039,12,0.0471
129,774,1656,71,0.0917,3,0.0039,47,0.0607,29,0.0375,43,0.0556,40,0.0517,1,0.0013,2,0.0026,0,0,4,0.0052,737,1463,2036,80,0.1085,2,0.0027,49,0.0665,23,0.0312,58,0.0787,53,0.0719,0,0,7,0.0095,1,0.0014,9,0.0122,812,1815,2461,107,0.1318,3,0.0037,61,0.0751,46,0.0567,80,0.0985,71,0.0874,2,0.0025,6,0.0074,0,0,8,0.0099
130,1474,5954,195,0.1323,26,0.0176,272,0.1845,54,0.0366,114,0.0773,54,0.0366,13,0.0088,8,0.0054,0,0,26,0.0176,1461,5975,5489,189,0.1294,25,0.0171,250,0.1711,51,0.0349,82,0.0561,65,0.0445,13,0.0089,5,0.0034,1,0.0007,31,0.0212,1549,6267,5692,183,0.1181,36,0.0232,247,0.1595,83,0.0536,142,0.0917,54,0.0349,16,0.0103,12,0.0077,0,0,31,0.02
131,832,2592,97,0.1166,9,0.0108,98,0.1178,46,0.0553,57,0.0685,25,0.03,2,0.0024,15,0.018,2,0.0024,15,0.018,740,2316,784,73,0.0986,6,0.0081,78,0.1054,51,0.0689,48,0.0649,19,0.0257,2,0.0027,14,0.0189,2,0.0027,15,0.0203,766,2320,896,86,0.1123,7,0.0091,69,0.0901,60,0.0783,45,0.0587,23,0.03,4,0.0052,10,0.0131,5,0.0065,9,0.0117
132,806,2503,124,0.1538,10,0.0124,165,0.2047,72,0.0893,76,0.0943,44,0.0546,6,0.0074,3,0.0037,1,0.0012,28,0.0347,763,2400,2439,108,0.1415,11,0.0144,155,0.2031,80,0.1048,78,0.1022,38,0.0498,4,0.0052,6,0.0079,6,0.0079,23,0.0301,744,2321,2208,103,0.1384,3,0.004,124,0.1667,83,0.1116,73,0.0981,46,0.0618,0,0,3,0.004,5,0.0067,13,0.0175
133,2207,5839,169,0.0766,5,0.0023,148,0.0671,0,0,50,0.0227,99,0.0449,2,0.0009,6,0.0027,0,0,23,0.0104,2281,6197,3093,161,0.0706,8,0.0035,146,0.064,0,0,60,0.0263,106,0.0465,3,0.0013,9,0.0039,0,0,22,0.0096,2245,6211,2085,146,0.065,3,0.0013,119,0.053,0,0,56,0.0249,74,0.033,1,0.0004,6,0.0027,0,0,23,0.0102
134,1141,3544,153,0.1341,32,0.028,118,0.1034,74,0.0649,73,0.064,56,0.0491,11,0.0096,4,0.0035,11,0.0096,22,0.0193,1058,3505,2226,134,0.1267,17,0.0161,105,0.0992,50,0.0473,60,0.0567,29,0.0274,6,0.0057,10,0.0095,7,0.0066,21,0.0198,1137,3596,2264,138,0.1214,24,0.0211,117,0.1029,83,0.073,62,0.0545,31,0.0273,10,0.0088,9,0.0079,19,0.0167,28,0.0246
135,366,842,22,0.0601,0,0,22,0.0601,17,0.0464,11,0.0301,7,0.0191,0,0,0,0,0,0,0,0,385,842,233,20,0.0519,4,0.0104,26,0.0675,10,0.026,6,0.0156,10,0.026,0,0,0,0,0,0,0,0,357,799,277,31,0.0868,2,0.0056,20,0.056,9,0.0252,14,0.0392,17,0.0476,0,0,0,0,0,0,0,0
136,704,2041,91,0.1293,14,0.0199,58,0.0824,31,0.044,37,0.0526,30,0.0426,4,0.0057,2,0.0028,1,0.0014,13,0.0185,662,1888,767,51,0.077,7,0.0106,53,0.0801,21,0.0317,18,0.0272,17,0.0257,4,0.006,2,0.003,0,0,19,0.0287,683,1940,880,67,0.0981,6,0.0088,50,0.0732,27,0.0395,34,0.0498,17,0.0249,4,0.0059,4,0.0059,1,0.0015,11,0.0161
137,561,1197,61,0.1087,2,0.0036,14,0.025,21,0.0374,29,0.0517,10,0.0178,1,0.0018,4,0.0071,0,0,1,0.0018,534,1123,419,49,0.0918,5,0.0094,26,0.0487,20,0.0375,42,0.0787,19,0.0356,1,0.0019,4,0.0075,2,0.0037,7,0.0131,550,1121,503,56,0.1018,1,0.0018,21,0.0382,26,0.0473,39,0.0709,15,0.0273,0,0,3,0.0055,2,0.0036,2,0.0036
138,767,1980,87,0.1134,7,0.0091,177,0.2308,59,0.0769,59,0.0769,29,0.0378,1,0.0013,4,0.0052,7,0.0091,53,0.0691,733,1953,1479,94,0.1282,8,0.0109,153,0.2087,55,0.075,45,0.0614,30,0.0409,2,0.0027,2,0.0027,10,0.0136,45,0.0614,807,2282,1742,99,0.1227,5,0.0062,167,0.2069,65,0.0805,49,0.0607,36,0.0446,1,0.0012,3,0.0037,2,0.0025,44,0.0545
139,1077,3588,108,0.1003,6,0.0056,107,0.0994,47,0.0436,47,0.0436,35,0.0325,2,0.0019,2,0.0019,2,0.0019,23,0.0214,931,3203,1807,94,0.101,5,0.0054,82,0.0881,46,0.0494,43,0.0462,19,0.0204,4,0.0043,4,0.0043,1,0.0011,15,0.0161,965,3138,1984,99,0.1026,6,0.0062,88,0.0912,73,0.0756,56,0.058,24,0.0249,4,0.0041,5,0.0052,1,0.001,16,0.0166
140,392,847,52,0.1327,7,0.0179,58,0.148,24,0.0612,26,0.0663,16,0.0408,2,0.0051,2,0.0051,1,0.0026,14,0.0357,395,850,744,43,0.1089,10,0.0253,56,0.1418,25,0.0633,20,0.0506,12,0.0304,6,0.0152,0,0,0,0,6,0.0152,424,950,848,45,0.1061,11,0.0259,60,0.1415,18,0.0425,21,0.0495,16,0.0377,4,0.0094,0,0,0,0,9,0.0212
141,919,4212,102,0.111,5,0.0054,91,0.099,53,0.0577,48,0.0522,31,0.0337,2,0.0022,9,0.0098,5,0.0054,5,0.0054,954,3988,2488,125,0.131,3,0.0031,104,0.109,53,0.0556,49,0.0514,42,0.044,0,0,7,0.0073,6,0.0063,9,0.0094,968,3970,2592,111,0.1147,4,0.0041,84,0.0868,80,0.0826,54,0.0558,38,0.0393,1,0.001,4,0.0041,11,0.0114,13,0.0134
142,1202,4077,130,0.1082,10,0.0083,109,0.0907,65,0.0541,68,0.0566,37,0.0308,3,0.0025,5,0.0042,4,0.0033,26,0.0216,1222,4078,2251,143,0.117,12,0.0098,123,0.1007,50,0.0409,71,0.0581,38,0.0311,7,0.0057,2,0.0016,4,0.0033,28,0.0229,1235,4048,2353,116,0.0939,14,0.0113,164,0.1328,65,0.0526,70,0.0567,37,0.03,7,0.0057,4,0.0032,1,0.0008,23,0.0186
143,2031,7439,153,0.0753,13,0.0064,232,0.1142,146,0.0719,110,0.0542,47,0.0231,3,0.0015,18,0.0089,25,0.0123,65,0.032,2081,7936,5114,162,0.0778,5,0.0024,245,0.1177,124,0.0596,130,0.0625,48,0.0231,4,0.0019,23,0.0111,13,0.0062,74,0.0356,2161,7898,5218,191,0.0884,9,0.0042,240,0.1111,160,0.074,123,0.0569,56,0.0259,5,0.0023,12,0.0056,19,0.0088,89,0.0412
144,941,3174,95,0.101,4,0.0043,75,0.0797,43,0.0457,46,0.0489,27,0.0287,1,0.0011,5,0.0053,1,0.0011,21,0.0223,979,3604,2288,96,0.0981,9,0.0092,84,0.0858,40,0.0409,54,0.0552,29,0.0296,2,0.002,5,0.0051,2,0.002,18,0.0184,1045,3574,2221,100,0.0957,4,0.0038,81,0.0775,52,0.0498,50,0.0478,25,0.0239,2,0.0019,8,0.0077,1,0.001,19,0.0182
145,1614,5614,188,0.1165,13,0.0081,181,0.1121,78,0.0483,99,0.0613,72,0.0446,1,0.0006,8,0.005,1,0.0006,43,0.0266,1540,5227,2265,209,0.1357,16,0.0104,170,0.1104,88,0.0571,90,0.0584,80,0.0519,0,0,8,0.0052,2,0.0013,35,0.0227,1625,5305,2550,173,0.1065,10,0.0062,203,0.1249,121,0.0745,100,0.0615,69,0.0425,2,0.0012,11,0.0068,7,0.0043,40,0.0246
146,642,1657,96,0.1495,4,0.0062,121,0.1885,42,0.0654,38,0.0592,43,0.067,1,0.0016,2,0.0031,4,0.0062,34,0.053,692,1680,989,87,0.1257,6,0.0087,115,0.1662,55,0.0795,44,0.0636,34,0.0491,1,0.0014,3,0.0043,4,0.0058,28,0.0405,729,1966,1175,114,0.1564,9,0.0123,127,0.1742,46,0.0631,51,0.07,44,0.0604,4,0.0055,2,0.0027,1,0.0014,38,0.0521
147,568,1444,79,0.1391,3,0.0053,40,0.0704,32,0.0563,24,0.0423,16,0.0282,0,0,3,0.0053,0,0,5,0.0088,645,1659,1058,79,0.1225,4,0.0062,46,0.0713,29,0.045,28,0.0434,20,0.031,0,0,1,0.0016,0,0,5,0.0078,605,1687,1177,64,0.1058,4,0.0066,62,0.1025,45,0.0744,51,0.0843,12,0.0198,1,0.0017,4,0.0066,3,0.005,14,0.0231
148,583,2399,68,0.1166,7,0.012,31,0.0532,6,0.0103,28,0.048,26,0.0446,3,0.0051,0,0,2,0.0034,10,0.0172,617,2513,793,63,0.1021,11,0.0178,26,0.0421,8,0.013,29,0.047,23,0.0373,7,0.0113,1,0.0016,3,0.0049,6,0.0097,702,2703,839,63,0.0897,11,0.0157,38,0.0541,8,0.0114,36,0.0513,27,0.0385,5,0.0071,2,0.0028,1,0.0014,12,0.0171
149,1332,5252,141,0.1059,9,0.0068,162,0.1216,65,0.0488,121,0.0908,37,0.0278,2,0.0015,17,0.0128,10,0.0075,51,0.0383,1379,4962,2016,137,0.0993,8,0.0058,148,0.1073,69,0.05,118,0.0856,41,0.0297,3,0.0022,19,0.0138,8,0.0058,37,0.0268,1362,4687,2020,137,0.1006,4,0.0029,128,0.094,76,0.0558,130,0.0954,59,0.0433,1,0.0007,32,0.0235,8,0.0059,35,0.0257
150,462,1244,42,0.0909,3,0.0065,53,0.1147,29,0.0628,31,0.0671,15,0.0325,2,0.0043,1,0.0022,1,0.0022,11,0.0238,472,1264,689,48,0.1017,5,0.0106,59,0.125,29,0.0614,20,0.0424,24,0.0508,2,0.0042,1,0.0021,1,0.0021,12,0.0254,447,1151,595,33,0.0738,6,0.0134,36,0.0805,28,0.0626,27,0.0604,14,0.0313,2,0.0045,2,0.0045,0,0,9,0.0201
151,1483,5736,109,0.0735,4,0.0027,85,0.0573,58,0.0391,93,0.0627,58,0.0391,0,0,15,0.0101,4,0.0027,26,0.0175,1371,4974,1353,84,0.0613,9,0.0066,63,0.046,42,0.0306,72,0.0525,48,0.035,3,0.0022,20,0.0146,5,0.0036,19,0.0139,1491,5704,1715,93,0.0624,8,0.0054,84,0.0563,70,0.0469,81,0.0543,46,0.0309,2,0.0013,12,0.008,10,0.0067,29,0.0195
152,180,545,25,0.1389,0,0,16,0.0889,14,0.0778,9,0.05,12,0.0667,0,0,1,0.0056,0,0,3,0.0167,174,543,280,20,0.1149,2,0.0115,27,0.1552,13,0.0747,8,0.046,8,0.046,0,0,0,0,0,0,0,0,168,535,287,25,0.1488,0,0,24,0.1429,18,0.1071,14,0.0833,11,0.0655,0,0,0,0,0,0,0,0
153,284,757,66,0.2324,1,0.0035,53,0.1866,37,0.1303,39,0.1373,32,0.1127,0,0,2,0.007,2,0.007,17,0.0599,262,665,443,52,0.1985,4,0.0153,52,0.1985,33,0.126,26,0.0992,27,0.1031,2,0.0076,1,0.0038,1,0.0038,16,0.0611,285,759,534,44,0.1544,2,0.007,84,0.2947,40,0.1404,31,0.1088,25,0.0877,1,0.0035,1,0.0035,1,0.0035,24,0.0842
154,957,3289,101,0.1055,3,0.0031,79,0.0825,45,0.047,54,0.0564,36,0.0376,0,0,8,0.0084,1,0.001,14,0.0146,957,3632,1957,106,0.1108,6,0.0063,108,0.1129,48,0.0502,66,0.069,43,0.0449,0,0,15,0.0157,1,0.001,21,0.0219,1022,3922,2086,138,0.135,4,0.0039,116,0.1135,62,0.0607,56,0.0548,50,0.0489,0,0,9,0.0088,0,0,18,0.0176
155,429,1215,42,0.0979,0,0,32,0.0746,19,0.0443,16,0.0373,17,0.0396,0,0,2,0.0047,0,0,4,0.0093,451,1217,485,32,0.071,5,0.0111,39,0.0865,17,0.0377,19,0.0421,10,0.0222,4,0.0089,3,0.0067,0,0,5,0.0111,451,1252,451,39,0.0865,3,0.0067,37,0.082,27,0.0599,17,0.0377,16,0.0355,1,0.0022,0,0,1,0.0022,7,0.0155
156,274,497,71,0.2591,6,0.0219,55,0.2007,28,0.1022,52,0.1898,46,0.1679,2,0.0073,3,0.0109,1,0.0036,28,0.1022,361,623,1080,128,0.3546,8,0.0222,63,0.1745,42,0.1163,80,0.2216,95,0.2632,6,0.0166,3,0.0083,7,0.0194,27,0.0748,324,563,997,75,0.2315,8,0.0247,68,0.2099,31,0.0957,81,0.25,51,0.1574,3,0.0093,3,0.0093,3,0.0093,25,0.0772
157,453,1134,56,0.1236,14,0.0309,46,0.1015,30,0.0662,31,0.0684,21,0.0464,3,0.0066,2,0.0044,2,0.0044,12,0.0265,489,1376,580,66,0.135,5,0.0102,52,0.1063,15,0.0307,27,0.0552,26,0.0532,1,0.002,2,0.0041,0,0,14,0.0286,464,1282,559,47,0.1013,6,0.0129,47,0.1013,21,0.0453,22,0.0474,19,0.0409,2,0.0043,1,0.0022,3,0.0065,11,0.0237
158,146,408,20,0.137,1,0.0068,20,0.137,13,0.089,13,0.089,12,0.0822,0,0,2,0.0137,0,0,2,0.0137,162,408,200,16,0.0988,4,0.0247,12,0.0741,8,0.0494,4,0.0247,11,0.0679,0,0,0,0,0,0,4,0.0247,149,384,226,19,0.1275,3,0.0201,14,0.094,15,0.1007,10,0.0671,14,0.094,0,0,0,0,0,0,2,0.0134
159,722,1686,73,0.1011,5,0.0069,87,0.1205,42,0.0582,32,0.0443,35,0.0485,4,0.0055,0,0,1,0.0014,20,0.0277,635,1459,905,66,0.1039,2,0.0031,69,0.1087,40,0.063,30,0.0472,38,0.0598,1,0.0016,0,0,2,0.0031,15,0.0236,615,1307,869,50,0.0813,5,0.0081,53,0.0862,32,0.052,36,0.0585,30,0.0488,1,0.0016,2,0.0033,2,0.0033,4,0.0065
160,400,677,24,0.06,1,0.0025,16,0.04,20,0.05,11,0.0275,14,0.035,1,0.0025,2,0.005,3,0.0075,6,0.015,420,860,695,25,0.0595,2,0.0048,10,0.0238,13,0.031,23,0.0548,20,0.0476,1,0.0024,2,0.0048,0,0,5,0.0119,458,839,720,21,0.0459,2,0.0044,7,0.0153,20,0.0437,18,0.0393,15,0.0328,0,0,0,0,2,0.0044,2,0.0044
161,701,1786,113,0.1612,11,0.0157,86,0.1227,48,0.0685,35,0.0499,64,0.0913,3,0.0043,2,0.0029,4,0.0057,28,0.0399,747,1817,972,112,0.1499,5,0.0067,88,0.1178,39,0.0522,32,0.0428,54,0.0723,0,0,3,0.004,1,0.0013,29,0.0388,747,2155,1084,137,0.1834,3,0.004,96,0.1285,47,0.0629,32,0.0428,76,0.1017,0,0,4,0.0054,4,0.0054,26,0.0348
162,1110,4000,114,0.1027,5,0.0045,107,0.0964,42,0.0378,61,0.055,41,0.0369,0,0,1,0.0009,5,0.0045,14,0.0126,1162,3880,1403,112,0.0964,12,0.0103,130,0.1119,46,0.0396,39,0.0336,40,0.0344,3,0.0026,2,0.0017,11,0.0095,35,0.0301,1223,4129,1611,110,0.0899,6,0.0049,132,0.1079,57,0.0466,46,0.0376,45,0.0368,3,0.0025,3,0.0025,15,0.0123,28,0.0229
163,423,1059,62,0.1466,1,0.0024,50,0.1182,18,0.0426,32,0.0757,46,0.1087,1,0.0024,0,0,3,0.0071,8,0.0189,410,1129,774,80,0.1951,1,0.0024,61,0.1488,17,0.0415,30,0.0732,55,0.1341,0,0,3,0.0073,1,0.0024,18,0.0439,418,1108,745,52,0.1244,2,0.0048,67,0.1603,24,0.0574,29,0.0694,25,0.0598,1,0.0024,1,0.0024,0,0,15,0.0359
164,370,869,48,0.1297,17,0.0459,68,0.1838,29,0.0784,23,0.0622,25,0.0676,5,0.0135,1,0.0027,2,0.0054,22,0.0595,362,931,758,48,0.1326,10,0.0276,73,0.2017,31,0.0856,28,0.0773,23,0.0635,3,0.0083,2,0.0055,2,0.0055,17,0.047,373,987,709,36,0.0965,4,0.0107,71,0.1903,39,0.1046,26,0.0697,22,0.059,0,0,1,0.0027,1,0.0027,17,0.0456
165,744,2341,83,0.1116,15,0.0202,72,0.0968,41,0.0551,49,0.0659,48,0.0645,4,0.0054,3,0.004,4,0.0054,11,0.0148,752,2131,1250,84,0.1117,18,0.0239,72,0.0957,36,0.0479,35,0.0465,39,0.0519,8,0.0106,1,0.0013,3,0.004,13,0.0173,744,2217,1429,99,0.1331,15,0.0202,67,0.0901,48,0.0645,46,0.0618,53,0.0712,5,0.0067,1,0.0013,9,0.0121,14,0.0188
166,447,923,58,0.1298,8,0.0179,87,0.1946,38,0.085,25,0.0559,12,0.0268,2,0.0045,1,0.0022,1,0.0022,16,0.0358,346,722,508,24,0.0694,4,0.0116,57,0.1647,23,0.0665,13,0.0376,8,0.0231,1,0.0029,1,0.0029,0,0,9,0.026,409,845,657,35,0.0856,2,0.0049,65,0.1589,34,0.0831,20,0.0489,14,0.0342,0,0,1,0.0024,1,0.0024,6,0.0147
167,938,2350,154,0.1642,4,0.0043,119,0.1269,45,0.048,28,0.0299,51,0.0544,1,0.0011,1,0.0011,1,0.0011,17,0.0181,881,2368,2553,135,0.1532,6,0.0068,129,0.1464,43,0.0488,38,0.0431,45,0.0511,0,0,8,0.0091,0,0,16,0.0182,860,1996,2229,136,0.1581,2,0.0023,111,0.1291,49,0.057,50,0.0581,45,0.0523,1,0.0012,5,0.0058,0,0,9,0.0105
168,693,1338,106,0.153,7,0.0101,64,0.0924,22,0.0317,30,0.0433,40,0.0577,0,0,1,0.0014,1,0.0014,14,0.0202,661,1276,632,89,0.1346,7,0.0106,37,0.056,20,0.0303,19,0.0287,10,0.0151,0,0,1,0.0015,1,0.0015,6,0.0091,696,1414,685,119,0.171,3,0.0043,49,0.0704,25,0.0359,28,0.0402,21,0.0302,0,0,1,0.0014,0,0,8,0.0115
169,317,582,45,0.142,4,0.0126,65,0.205,25,0.0789,15,0.0473,20,0.0631,0,0,2,0.0063,1,0.0032,7,0.0221,302,591,733,42,0.1391,1,0.0033,63,0.2086,29,0.096,16,0.053,15,0.0497,0,0,1,0.0033,0,0,3,0.0099,319,570,771,37,0.116,2,0.0063,80,0.2508,36,0.1129,26,0.0815,20,0.0627,0,0,2,0.0063,0,0,5,0.0157
170,1679,3822,118,0.0703,17,0.0101,129,0.0768,67,0.0399,47,0.028,42,0.025,5,0.003,3,0.0018,4,0.0024,24,0.0143,1736,3844,1898,151,0.087,17,0.0098,165,0.095,63,0.0363,65,0.0374,59,0.034,3,0.0017,8,0.0046,0,0,31,0.0179,1841,4151,2232,179,0.0972,12,0.0065,179,0.0972,86,0.0467,70,0.038,87,0.0473,4,0.0022,9,0.0049,0,0,43,0.0234
171,158,231,31,0.1962,2,0.0127,15,0.0949,6,0.038,14,0.0886,12,0.0759,2,0.0127,2,0.0127,0,0,9,0.057,165,268,571,23,0.1394,1,0.0061,24,0.1455,11,0.0667,17,0.103,9,0.0545,0,0,1,0.0061,0,0,6,0.0364,164,299,571,26,0.1585,2,0.0122,20,0.122,12,0.0732,24,0.1463,13,0.0793,1,0.0061,4,0.0244,1,0.0061,7,0.0427
172,533,1432,54,0.1013,6,0.0113,68,0.1276,31,0.0582,11,0.0206,16,0.03,3,0.0056,1,0.0019,0,0,12,0.0225,485,1303,818,47,0.0969,8,0.0165,64,0.132,30,0.0619,14,0.0289,19,0.0392,4,0.0082,1,0.0021,0,0,18,0.0371,505,1326,860,48,0.095,7,0.0139,75,0.1485,44,0.0871,10,0.0198,16,0.0317,2,0.004,0,0,0,0,10,0.0198
