hospital,Q1_total number of tested patients,Q1_total number of specimes,Q1_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients_E. coli,Q1_isolation rate_E. coli,Q1_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients_MRSA,Q1_isolation rate_MRSA,Q1_number of patients_PRSP,Q1_isolation rate_PRSP,Q1_number of patients_CRP,Q1_isolation rate_CRP,Q1_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q2_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q2_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q2_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q2_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q2_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q2_isolation rate_MRSA,Q2_number of patients_PRSP,Q2_isolation rate_PRSP,Q2_number of patients_CRP,Q2_isolation rate_CRP,Q2_number of patients_3GCRKP,Q2_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q2_isolation rate_3GCREC,Q3_total number of tested patients,total number of specimes,total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
116,267,588,82,0.3071,11,0.0412,58,0.2172,26,0.0974,98,0.367,67,0.2509,8,0.03,13,0.0487,4,0.015,13,0.0487,251,592,1071,78,0.3108,6,0.0239,67,0.2669,19,0.0757,85,0.3386,62,0.247,6,0.0239,10,0.0398,3,0.012,19,0.0757,292,678,1232,67,0.2295,4,0.0137,79,0.2705,34,0.1164,116,0.3973,53,0.1815,4,0.0137,12,0.0411,4,0.0137,17,0.0582
117,1101,3538,112,0.1017,31,0.0282,191,0.1735,58,0.0527,68,0.0618,27,0.0245,0,0,0,0,0,0,0,0,952,3074,2253,107,0.1124,12,0.0126,167,0.1754,51,0.0536,52,0.0546,25,0.0263,0,0,0,0,0,0,0,0,444,1133,856,51,0.1149,2,0.0045,79,0.1779,34,0.0766,34,0.0766,25,0.0563,0,0,2,0.0045,1,0.0023,16,0.036
118,466,1207,70,0.1502,17,0.0365,74,0.1588,18,0.0386,27,0.0579,26,0.0558,7,0.015,2,0.0043,1,0.0021,16,0.0343,372,986,774,53,0.1425,5,0.0134,75,0.2016,39,0.1048,30,0.0806,18,0.0484,1,0.0027,4,0.0108,3,0.0081,17,0.0457,947,3580,2024,98,0.1035,7,0.0074,131,0.1383,82,0.0866,94,0.0993,38,0.0401,6,0.0063,9,0.0095,0,0,1,0.0011
119,1001,3905,113,0.1129,5,0.005,123,0.1229,60,0.0599,129,0.1289,37,0.037,3,0.003,37,0.037,0,0,1,0.001,861,3012,1420,83,0.0964,1,0.0012,91,0.1057,48,0.0557,86,0.0999,33,0.0383,0,0,25,0.029,0,0,1,0.0012,1201,7242,3435,169,0.1407,5,0.0042,170,0.1415,116,0.0966,91,0.0758,48,0.04,2,0.0017,0,0,0,0,0,0
120,1166,6692,145,0.1244,4,0.0034,205,0.1758,109,0.0935,74,0.0635,50,0.0429,1,0.0009,3,0.0026,1,0.0009,2,0.0017,1155,6578,3303,144,0.1247,7,0.0061,220,0.1905,66,0.0571,66,0.0571,43,0.0372,4,0.0035,1,0.0009,0,0,3,0.0026,107,203,184,18,0.1682,1,0.0093,20,0.1869,10,0.0935,8,0.0748,12,0.1121,0,0,0,0,0,0,0,0
121,76,101,10,0.1316,1,0.0132,23,0.3026,8,0.1053,6,0.0789,4,0.0526,0,0,0,0,0,0,0,0,121,195,157,8,0.0661,0,0,20,0.1653,5,0.0413,3,0.0248,7,0.0579,0,0,0,0,0,0,0,0,451,1488,633,47,0.1042,0,0,51,0.1131,32,0.071,33,0.0732,11,0.0244,0,0,0,0,0,0,15,0.0333
122,461,1513,47,0.102,2,0.0043,49,0.1063,19,0.0412,26,0.0564,15,0.0325,2,0.0043,2,0.0043,5,0.0108,7,0.0152,407,1360,471,36,0.0885,2,0.0049,32,0.0786,23,0.0565,24,0.059,10,0.0246,1,0.0025,1,0.0025,1,0.0025,6,0.0147,321,786,609,51,0.1589,1,0.0031,37,0.1153,23,0.0717,22,0.0685,22,0.0685,1,0.0031,3,0.0093,5,0.0156,10,0.0312
123,379,766,75,0.1979,1,0.0026,53,0.1398,25,0.066,41,0.1082,37,0.0976,0,0,3,0.0079,3,0.0079,13,0.0343,318,649,666,57,0.1792,0,0,55,0.173,19,0.0597,29,0.0912,30,0.0943,0,0,1,0.0031,2,0.0063,14,0.044,376,534,662,29,0.0771,0,0,138,0.367,41,0.109,42,0.1117,16,0.0426,0,0,4,0.0106,3,0.008,73,0.1941
124,354,518,32,0.0904,2,0.0056,118,0.3333,29,0.0819,48,0.1356,23,0.065,1,0.0028,6,0.0169,3,0.0085,66,0.1864,327,458,587,22,0.0673,0,0,127,0.3884,37,0.1131,40,0.1223,15,0.0459,0,0,3,0.0092,1,0.0031,62,0.1896,288,699,592,31,0.1076,1,0.0035,51,0.1771,31,0.1076,31,0.1076,6,0.0208,1,0.0035,1,0.0035,1,0.0035,5,0.0174
125,263,637,21,0.0798,1,0.0038,42,0.1597,23,0.0875,9,0.0342,2,0.0076,0,0,0,0,1,0.0038,8,0.0304,282,624,456,26,0.0922,2,0.0071,48,0.1702,23,0.0816,21,0.0745,5,0.0177,2,0.0071,2,0.0071,0,0,6,0.0213,284,666,690,55,0.1937,2,0.007,44,0.1549,19,0.0669,44,0.1549,44,0.1549,2,0.007,3,0.0106,0,0,13,0.0458
126,194,482,51,0.2629,0,0,30,0.1546,12,0.0619,27,0.1392,36,0.1856,0,0,2,0.0103,0,0,11,0.0567,192,370,467,35,0.1823,2,0.0104,23,0.1198,9,0.0469,28,0.1458,24,0.125,2,0.0104,3,0.0156,0,0,6,0.0313,539,1125,1452,51,0.0946,0,0,37,0.0686,24,0.0445,45,0.0835,30,0.0557,0,0,8,0.0148,1,0.0019,11,0.0204
127,663,1403,68,0.1026,8,0.0121,48,0.0724,29,0.0437,47,0.0709,38,0.0573,4,0.006,11,0.0166,1,0.0015,19,0.0287,490,993,1387,55,0.1122,2,0.0041,61,0.1245,21,0.0429,38,0.0776,32,0.0653,0,0,6,0.0122,0,0,17,0.0347,1379,4708,4419,155,0.1124,5,0.0036,239,0.1733,98,0.0711,111,0.0805,53,0.0384,1,0.0007,7,0.0051,0,0,30,0.0218
128,1358,4765,151,0.1112,21,0.0155,225,0.1657,58,0.0427,117,0.0862,51,0.0376,10,0.0074,14,0.0103,1,0.0007,25,0.0184,1300,4802,4514,152,0.1169,6,0.0046,215,0.1654,83,0.0638,91,0.07,43,0.0331,3,0.0023,13,0.01,0,0,40,0.0308,765,2520,975,73,0.0954,3,0.0039,95,0.1242,53,0.0693,47,0.0614,19,0.0248,3,0.0039,7,0.0092,4,0.0052,21,0.0275
129,802,2668,97,0.1209,7,0.0087,86,0.1072,39,0.0486,40,0.0499,29,0.0362,3,0.0037,7,0.0087,0,0,20,0.0249,746,2708,1034,82,0.1099,1,0.0013,94,0.126,43,0.0576,41,0.055,22,0.0295,0,0,10,0.0134,3,0.004,23,0.0308,1114,3396,2020,86,0.0772,12,0.0108,107,0.0961,81,0.0727,50,0.0449,27,0.0242,6,0.0054,1,0.0009,1,0.0009,16,0.0144
130,2073,5454,126,0.0608,4,0.0019,104,0.0502,0,0,40,0.0193,60,0.0289,2,0.001,5,0.0024,0,0,12,0.0058,1619,4824,1428,93,0.0574,1,0.0006,65,0.0401,0,0,46,0.0284,53,0.0327,0,0,10,0.0062,0,0,13,0.008,1816,4989,1535,105,0.0578,1,0.0006,74,0.0407,0,0,41,0.0226,59,0.0325,0,0,4,0.0022,0,0,11,0.0061
131,1066,3574,151,0.1417,11,0.0103,103,0.0966,79,0.0741,82,0.0769,67,0.0629,2,0.0019,10,0.0094,14,0.0131,20,0.0188,767,2532,1581,111,0.1447,10,0.013,75,0.0978,58,0.0756,44,0.0574,37,0.0482,3,0.0039,7,0.0091,17,0.0222,22,0.0287,951,3291,2055,124,0.1304,9,0.0095,90,0.0946,68,0.0715,58,0.061,39,0.041,5,0.0053,4,0.0042,9,0.0095,15,0.0158
132,359,803,23,0.0641,2,0.0056,20,0.0557,9,0.0251,10,0.0279,6,0.0167,0,0,0,0,0,0,0,0,283,800,283,14,0.0495,1,0.0035,26,0.0919,10,0.0353,14,0.0495,6,0.0212,0,0,1,0.0035,0,0,0,0,349,830,346,19,0.0544,1,0.0029,28,0.0802,11,0.0315,13,0.0372,5,0.0143,0,0,1,0.0029,0,0,0,0
133,587,1689,43,0.0733,4,0.0068,38,0.0647,17,0.029,24,0.0409,13,0.0221,2,0.0034,2,0.0034,0,0,9,0.0153,553,1573,671,45,0.0814,2,0.0036,50,0.0904,22,0.0398,28,0.0506,20,0.0362,1,0.0018,3,0.0054,2,0.0036,13,0.0235,573,1527,778,55,0.096,0,0,56,0.0977,24,0.0419,26,0.0454,23,0.0401,0,0,5,0.0087,3,0.0052,17,0.0297
134,554,1226,69,0.1245,1,0.0018,26,0.0469,15,0.0271,24,0.0433,25,0.0451,0,0,1,0.0018,0,0,10,0.0181,527,1192,419,62,0.1176,3,0.0057,23,0.0436,18,0.0342,29,0.055,14,0.0266,2,0.0038,1,0.0019,1,0.0019,6,0.0114,536,1182,567,92,0.1716,6,0.0112,29,0.0541,29,0.0541,43,0.0802,29,0.0541,1,0.0019,4,0.0075,1,0.0019,10,0.0187
135,777,2045,80,0.103,3,0.0039,144,0.1853,50,0.0644,59,0.0759,28,0.036,3,0.0039,2,0.0026,2,0.0026,41,0.0528,637,1831,1369,85,0.1334,5,0.0078,110,0.1727,48,0.0754,56,0.0879,29,0.0455,3,0.0047,3,0.0047,3,0.0047,30,0.0471,707,2042,1556,59,0.0835,3,0.0042,130,0.1839,44,0.0622,50,0.0707,16,0.0226,1,0.0014,2,0.0028,1,0.0014,27,0.0382
136,1070,3704,107,0.1,9,0.0084,108,0.1009,62,0.0579,50,0.0467,18,0.0168,4,0.0037,2,0.0019,2,0.0019,20,0.0187,1153,3594,1668,97,0.0841,3,0.0026,78,0.0676,43,0.0373,32,0.0278,20,0.0173,2,0.0017,1,0.0009,0,0,13,0.0113,1164,3588,2152,102,0.0876,0,0,101,0.0868,72,0.0619,73,0.0627,19,0.0163,0,0,2,0.0017,0,0,19,0.0163
137,354,825,40,0.113,3,0.0085,54,0.1525,11,0.0311,22,0.0621,17,0.048,2,0.0056,1,0.0028,1,0.0028,8,0.0226,292,745,588,29,0.0993,2,0.0068,55,0.1884,13,0.0445,10,0.0342,13,0.0445,0,0,0,0,1,0.0034,16,0.0548,308,717,693,40,0.1299,3,0.0097,45,0.1461,20,0.0649,20,0.0649,11,0.0357,0,0,0,0,3,0.0097,12,0.039
138,874,3627,103,0.1178,2,0.0023,85,0.0973,44,0.0503,40,0.0458,26,0.0297,0,0,7,0.008,8,0.0092,17,0.0195,808,3472,2061,91,0.1126,1,0.0012,73,0.0903,37,0.0458,51,0.0631,27,0.0334,1,0.0012,5,0.0062,13,0.0161,7,0.0087,820,3795,2184,86,0.1049,5,0.0061,72,0.0878,40,0.0488,61,0.0744,22,0.0268,3,0.0037,3,0.0037,8,0.0098,12,0.0146
139,1071,3642,118,0.1102,8,0.0075,137,0.1279,47,0.0439,61,0.057,31,0.0289,3,0.0028,3,0.0028,2,0.0019,29,0.0271,978,3315,1992,99,0.1012,7,0.0072,137,0.1401,46,0.047,45,0.046,25,0.0256,3,0.0031,3,0.0031,2,0.002,38,0.0389,1034,3305,2078,89,0.0861,4,0.0039,140,0.1354,60,0.058,63,0.0609,20,0.0193,2,0.0019,8,0.0077,2,0.0019,19,0.0184
140,2051,7528,137,0.0668,5,0.0024,236,0.1151,79,0.0385,130,0.0634,54,0.0263,2,0.001,25,0.0122,14,0.0068,78,0.038,1728,6568,3240,99,0.0573,1,0.0006,167,0.0966,40,0.0231,94,0.0544,38,0.022,1,0.0006,30,0.0174,9,0.0052,59,0.0341,2223,8084,4243,106,0.0477,2,0.0009,205,0.0922,102,0.0459,140,0.063,35,0.0157,1,0.0004,48,0.0216,13,0.0058,64,0.0288
141,964,3457,79,0.082,2,0.0021,76,0.0788,53,0.055,42,0.0436,25,0.0259,2,0.0021,5,0.0052,1,0.001,11,0.0114,962,3421,2597,96,0.0998,2,0.0021,68,0.0707,51,0.053,30,0.0312,27,0.0281,2,0.0021,2,0.0021,1,0.001,25,0.026,1016,3237,2610,111,0.1093,3,0.003,63,0.062,46,0.0453,61,0.06,22,0.0217,2,0.002,1,0.001,4,0.0039,13,0.0128
142,1545,5282,185,0.1197,12,0.0078,207,0.134,109,0.0706,74,0.0479,63,0.0408,0,0,9,0.0058,4,0.0026,25,0.0162,1361,4649,2122,171,0.1256,3,0.0022,178,0.1308,90,0.0661,75,0.0551,68,0.05,0,0,4,0.0029,2,0.0015,26,0.0191,1415,5086,2370,167,0.118,10,0.0071,187,0.1322,152,0.1074,75,0.053,62,0.0438,0,0,5,0.0035,13,0.0092,21,0.0148
143,715,2062,87,0.1217,7,0.0098,151,0.2112,39,0.0545,31,0.0434,42,0.0587,2,0.0028,1,0.0014,3,0.0042,51,0.0713,578,1505,827,61,0.1055,2,0.0035,112,0.1938,44,0.0761,36,0.0623,26,0.045,0,0,1,0.0017,6,0.0104,31,0.0536,568,1462,798,67,0.118,2,0.0035,102,0.1796,50,0.088,45,0.0792,32,0.0563,1,0.0018,1,0.0018,9,0.0158,19,0.0335
144,528,1393,64,0.1212,1,0.0019,60,0.1136,20,0.0379,24,0.0455,22,0.0417,0,0,2,0.0038,2,0.0038,6,0.0114,451,1235,743,41,0.0909,1,0.0022,39,0.0865,26,0.0576,19,0.0421,14,0.031,1,0.0022,2,0.0044,1,0.0022,6,0.0133,452,1109,659,33,0.073,1,0.0022,44,0.0973,25,0.0553,23,0.0509,10,0.0221,0,0,0,0,1,0.0022,7,0.0155
145,678,2630,54,0.0796,5,0.0074,28,0.0413,4,0.0059,25,0.0369,25,0.0369,0,0,1,0.0015,1,0.0015,10,0.0147,496,2102,440,39,0.0786,3,0.006,34,0.0685,1,0.002,20,0.0403,14,0.0282,3,0.006,3,0.006,1,0.002,13,0.0262,607,2436,643,56,0.0923,8,0.0132,32,0.0527,7,0.0115,19,0.0313,24,0.0395,4,0.0066,2,0.0033,3,0.0049,10,0.0165
146,1339,4729,155,0.1158,11,0.0082,137,0.1023,58,0.0433,95,0.0709,54,0.0403,6,0.0045,12,0.009,14,0.0105,35,0.0261,1258,4580,1843,119,0.0946,6,0.0048,111,0.0882,58,0.0461,78,0.062,43,0.0342,1,0.0008,11,0.0087,4,0.0032,31,0.0246,1367,4771,2079,123,0.09,2,0.0015,158,0.1156,69,0.0505,114,0.0834,40,0.0293,0,0,9,0.0066,9,0.0066,44,0.0322
147,386,1051,35,0.0907,4,0.0104,42,0.1088,18,0.0466,17,0.044,14,0.0363,2,0.0052,0,0,1,0.0026,12,0.0311,306,935,488,37,0.1209,1,0.0033,44,0.1438,23,0.0752,19,0.0621,16,0.0523,0,0,3,0.0098,1,0.0033,11,0.0359,386,1065,689,45,0.1166,2,0.0052,55,0.1425,29,0.0751,38,0.0984,15,0.0389,1,0.0026,3,0.0078,1,0.0026,9,0.0233
148,1408,5409,88,0.0625,3,0.0021,69,0.049,43,0.0305,69,0.049,45,0.032,2,0.0014,10,0.0071,4,0.0028,17,0.0121,1136,4177,1295,71,0.0625,1,0.0009,80,0.0704,40,0.0352,72,0.0634,31,0.0273,0,0,5,0.0044,3,0.0026,12,0.0106,1133,4040,1486,78,0.0688,3,0.0026,70,0.0618,59,0.0521,82,0.0724,39,0.0344,1,0.0009,12,0.0106,10,0.0088,18,0.0159
149,150,419,21,0.14,0,0,16,0.1067,8,0.0533,6,0.04,7,0.0467,0,0,1,0.0067,0,0,1,0.0067,192,544,322,35,0.1823,1,0.0052,26,0.1354,9,0.0469,11,0.0573,14,0.0729,1,0.0052,1,0.0052,2,0.0104,4,0.0208,165,472,295,23,0.1394,0,0,36,0.2182,18,0.1091,14,0.0848,12,0.0727,0,0,4,0.0242,0,0,8,0.0485
150,282,677,49,0.1738,2,0.0071,68,0.2411,24,0.0851,20,0.0709,30,0.1064,0,0,2,0.0071,0,0,28,0.0993,228,646,415,37,0.1623,2,0.0088,57,0.25,24,0.1053,29,0.1272,22,0.0965,2,0.0088,0,0,0,0,20,0.0877,292,835,529,41,0.1404,0,0,83,0.2842,48,0.1644,34,0.1164,15,0.0514,0,0,2,0.0068,3,0.0103,24,0.0822
151,897,3116,107,0.1193,3,0.0033,63,0.0702,36,0.0401,50,0.0557,38,0.0424,0,0,1,0.0011,2,0.0022,11,0.0123,819,3040,1398,102,0.1245,1,0.0012,83,0.1013,33,0.0403,48,0.0586,32,0.0391,0,0,7,0.0085,0,0,10,0.0122,924,3254,1522,100,0.1082,0,0,105,0.1136,57,0.0617,54,0.0584,29,0.0314,0,0,7,0.0076,0,0,17,0.0184
152,263,517,51,0.1939,1,0.0038,43,0.1635,23,0.0875,40,0.1521,34,0.1293,1,0.0038,5,0.019,2,0.0076,13,0.0494,364,641,1064,79,0.217,3,0.0082,47,0.1291,18,0.0495,54,0.1484,58,0.1593,1,0.0027,12,0.033,3,0.0082,21,0.0577,267,451,684,56,0.2097,0,0,39,0.1461,19,0.0712,30,0.1124,38,0.1423,0,0,5,0.0187,2,0.0075,14,0.0524
153,423,1022,46,0.1087,4,0.0095,51,0.1206,12,0.0284,31,0.0733,24,0.0567,0,0,0,0,0,0,10,0.0236,400,995,470,37,0.0925,4,0.01,63,0.1575,28,0.07,19,0.0475,15,0.0375,0,0,0,0,0,0,11,0.0275,412,1174,492,45,0.1092,1,0.0024,53,0.1286,26,0.0631,19,0.0461,23,0.0558,1,0.0024,1,0.0024,3,0.0073,10,0.0243
154,145,374,14,0.0966,2,0.0138,20,0.1379,8,0.0552,2,0.0138,11,0.0759,0,0,0,0,0,0,2,0.0138,98,277,110,14,0.1429,0,0,8,0.0816,5,0.051,6,0.0612,10,0.102,0,0,1,0.0102,0,0,2,0.0204,157,390,204,19,0.121,1,0.0064,21,0.1338,16,0.1019,11,0.0701,13,0.0828,1,0.0064,1,0.0064,0,0,3,0.0191
155,656,1388,51,0.0777,1,0.0015,69,0.1052,28,0.0427,23,0.0351,26,0.0396,1,0.0015,0,0,2,0.003,12,0.0183,496,1163,630,34,0.0685,1,0.002,56,0.1129,31,0.0625,22,0.0444,17,0.0343,0,0,0,0,1,0.002,11,0.0222,588,1314,789,44,0.0748,0,0,61,0.1037,39,0.0663,38,0.0646,28,0.0476,0,0,2,0.0034,0,0,4,0.0068
156,386,672,19,0.0492,2,0.0052,12,0.0311,6,0.0155,26,0.0674,16,0.0415,0,0,1,0.0026,2,0.0052,5,0.013,233,449,418,14,0.0601,0,0,9,0.0386,9,0.0386,15,0.0644,8,0.0343,0,0,0,0,2,0.0086,5,0.0215,277,506,430,8,0.0289,1,0.0036,5,0.0181,19,0.0686,14,0.0505,5,0.0181,0,0,1,0.0036,0,0,1,0.0036
157,718,1950,110,0.1532,5,0.007,98,0.1365,43,0.0599,45,0.0627,56,0.078,0,0,8,0.0111,4,0.0056,27,0.0376,633,1710,906,92,0.1453,1,0.0016,88,0.139,33,0.0521,47,0.0742,54,0.0853,0,0,2,0.0032,4,0.0063,20,0.0316,636,1928,1066,104,0.1635,2,0.0031,94,0.1478,56,0.0881,45,0.0708,59,0.0928,0,0,3,0.0047,5,0.0079,29,0.0456
158,1050,3465,92,0.0876,7,0.0067,103,0.0981,41,0.039,46,0.0438,38,0.0362,4,0.0038,4,0.0038,4,0.0038,18,0.0171,734,2334,1127,85,0.1158,2,0.0027,88,0.1199,31,0.0422,41,0.0559,33,0.045,0,0,3,0.0041,4,0.0054,15,0.0204,1051,3658,1579,104,0.099,3,0.0029,98,0.0932,67,0.0637,83,0.079,44,0.0419,2,0.0019,10,0.0095,5,0.0048,22,0.0209
159,401,1102,62,0.1546,2,0.005,68,0.1696,29,0.0723,33,0.0823,39,0.0973,1,0.0025,2,0.005,3,0.0075,16,0.0399,349,1023,671,68,0.1948,1,0.0029,46,0.1318,24,0.0688,29,0.0831,43,0.1232,0,0,2,0.0057,2,0.0057,14,0.0401,394,1153,669,51,0.1294,1,0.0025,61,0.1548,22,0.0558,35,0.0888,35,0.0888,1,0.0025,3,0.0076,1,0.0025,13,0.033
160,284,721,26,0.0915,7,0.0246,49,0.1725,25,0.088,18,0.0634,14,0.0493,1,0.0035,2,0.007,0,0,8,0.0282,46,147,144,9,0.1957,0,0,9,0.1957,5,0.1087,7,0.1522,7,0.1522,0,0,1,0.0217,0,0,1,0.0217,137,279,243,21,0.1533,0,0,26,0.1898,11,0.0803,12,0.0876,9,0.0657,0,0,1,0.0073,0,0,4,0.0292
161,659,1953,83,0.1259,11,0.0167,76,0.1153,26,0.0395,34,0.0516,39,0.0592,3,0.0046,0,0,4,0.0061,15,0.0228,552,1716,870,65,0.1178,4,0.0072,45,0.0815,24,0.0435,21,0.038,29,0.0525,2,0.0036,0,0,8,0.0145,11,0.0199,670,2014,1174,74,0.1104,9,0.0134,67,0.1,38,0.0567,50,0.0746,38,0.0567,4,0.006,0,0,5,0.0075,17,0.0254
162,378,721,41,0.1085,4,0.0106,65,0.172,17,0.045,19,0.0503,10,0.0265,2,0.0053,1,0.0026,0,0,13,0.0344,363,705,601,38,0.1047,2,0.0055,73,0.2011,28,0.0771,13,0.0358,16,0.0441,2,0.0055,3,0.0083,1,0.0028,12,0.0331,335,677,589,33,0.0985,1,0.003,55,0.1642,20,0.0597,22,0.0657,14,0.0418,1,0.003,3,0.009,0,0,12,0.0358
163,808,2087,117,0.1448,3,0.0037,118,0.146,44,0.0545,30,0.0371,40,0.0495,1,0.0012,2,0.0025,0,0,16,0.0198,713,1789,1704,76,0.1066,0,0,87,0.122,31,0.0435,29,0.0407,24,0.0337,0,0,2,0.0028,0,0,14,0.0196,843,2029,2130,103,0.1222,4,0.0047,98,0.1163,53,0.0629,33,0.0391,29,0.0344,1,0.0012,4,0.0047,4,0.0047,12,0.0142
164,654,1345,116,0.1774,2,0.0031,47,0.0719,24,0.0367,24,0.0367,25,0.0382,0,0,2,0.0031,0,0,13,0.0199,634,1364,608,96,0.1514,2,0.0032,69,0.1088,21,0.0331,22,0.0347,16,0.0252,0,0,4,0.0063,0,0,11,0.0174,615,1277,572,95,0.1545,0,0,43,0.0699,31,0.0504,20,0.0325,14,0.0228,0,0,0,0,0,0,6,0.0098
165,316,631,43,0.1361,2,0.0063,65,0.2057,28,0.0886,26,0.0823,23,0.0728,1,0.0032,2,0.0063,1,0.0032,10,0.0316,292,705,746,43,0.1473,1,0.0034,74,0.2534,21,0.0719,20,0.0685,25,0.0856,0,0,3,0.0103,0,0,4,0.0137,278,692,726,48,0.1727,0,0,67,0.241,30,0.1079,20,0.0719,26,0.0935,0,0,4,0.0144,0,0,9,0.0324
166,1662,3532,144,0.0866,11,0.0066,125,0.0752,56,0.0337,44,0.0265,69,0.0415,4,0.0024,4,0.0024,0,0,24,0.0144,1662,3520,1355,109,0.0656,5,0.003,101,0.0608,35,0.0211,31,0.0187,44,0.0265,3,0.0018,1,0.0006,1,0.0006,21,0.0126,1872,3952,1478,125,0.0668,4,0.0021,79,0.0422,57,0.0304,49,0.0262,53,0.0283,1,0.0005,2,0.0011,1,0.0005,9,0.0048
167,168,314,23,0.1369,1,0.006,16,0.0952,17,0.1012,17,0.1012,11,0.0655,0,0,2,0.0119,0,0,3,0.0179,131,269,499,24,0.1832,1,0.0076,15,0.1145,12,0.0916,16,0.1221,10,0.0763,0,0,1,0.0076,0,0,2,0.0153,189,372,662,37,0.1958,2,0.0106,25,0.1323,17,0.0899,25,0.1323,14,0.0741,0,0,0,0,0,0,6,0.0317
168,490,1327,40,0.0816,5,0.0102,80,0.1633,31,0.0633,9,0.0184,19,0.0388,1,0.002,0,0,0,0,13,0.0265,467,1283,892,55,0.1178,1,0.0021,69,0.1478,22,0.0471,14,0.03,21,0.045,1,0.0021,3,0.0064,0,0,8,0.0171,464,1188,734,47,0.1013,2,0.0043,62,0.1336,32,0.069,16,0.0345,13,0.028,1,0.0022,3,0.0065,1,0.0022,12,0.0259
169,213,466,36,0.169,1,0.0047,34,0.1596,22,0.1033,4,0.0188,17,0.0798,0,0,1,0.0047,0,0,7,0.0329,250,472,357,31,0.124,0,0,36,0.144,13,0.052,12,0.048,16,0.064,0,0,1,0.004,0,0,14,0.056,249,493,445,41,0.1647,2,0.008,50,0.2008,31,0.1245,18,0.0723,11,0.0442,1,0.004,2,0.008,2,0.008,21,0.0843
170,283,488,14,0.0495,0,0,28,0.0989,15,0.053,8,0.0283,2,0.0071,0,0,0,0,0,0,5,0.0177,272,488,286,25,0.0919,0,0,26,0.0956,14,0.0515,15,0.0551,5,0.0184,0,0,1,0.0037,0,0,5,0.0184,280,527,323,17,0.0607,0,0,26,0.0929,23,0.0821,10,0.0357,4,0.0143,0,0,0,0,0,0,1,0.0036
171,653,1401,49,0.075,6,0.0092,43,0.0658,16,0.0245,30,0.0459,24,0.0368,2,0.0031,4,0.0061,0,0,11,0.0168,546,1171,581,33,0.0604,2,0.0037,60,0.1099,18,0.033,19,0.0348,12,0.022,1,0.0018,2,0.0037,1,0.0018,14,0.0256,552,1168,572,42,0.0761,5,0.0091,50,0.0906,14,0.0254,15,0.0272,12,0.0217,2,0.0036,2,0.0036,0,0,5,0.0091
172,603,1543,71,0.1177,2,0.0033,72,0.1194,20,0.0332,25,0.0415,43,0.0713,2,0.0033,2,0.0033,0,0,16,0.0265,317,996,440,50,0.1577,2,0.0063,48,0.1514,13,0.041,15,0.0473,28,0.0883,1,0.0032,2,0.0063,0,0,9,0.0284,498,1520,651,62,0.1245,3,0.006,67,0.1345,19,0.0382,27,0.0542,36,0.0723,1,0.002,2,0.004,0,0,15,0.0301
173,343,775,42,0.1224,2,0.0058,75,0.2187,17,0.0496,9,0.0262,17,0.0496,1,0.0029,0,0,2,0.0058,6,0.0175,337,756,483,32,0.095,1,0.003,59,0.1751,10,0.0297,8,0.0237,12,0.0356,0,0,1,0.003,0,0,7,0.0208,347,867,519,39,0.1124,0,0,66,0.1902,25,0.072,13,0.0375,17,0.049,0,0,0,0,1,0.0029,8,0.0231
174,197,465,26,0.132,6,0.0305,29,0.1472,18,0.0914,6,0.0305,10,0.0508,2,0.0102,0,0,0,0,7,0.0355,186,416,218,16,0.086,1,0.0054,29,0.1559,24,0.129,10,0.0538,4,0.0215,0,0,1,0.0054,0,0,9,0.0484,183,427,262,21,0.1148,1,0.0055,39,0.2131,20,0.1093,5,0.0273,13,0.071,0,0,0,0,1,0.0055,9,0.0492
